,Outlet/Publication,Headline,Hit sentence,Url,Rating
151,greenbridgemed.com,A THANKFUL MYASTHENIA GRAVIS PATIENT,. That is where I had descended to by March 2017 but I was determined I was not going to get into the drugs that were recommended and of course all of the side effects that come with those drugs. In doing some online research to find an alternative treatment I luckily came across Dr. Allan Frankel and his cannabis practice. Dr. Frankel gave me a formula to take in spray form and within two days I had absolutely no more arthritis or joint pain. This had nothing to do with the Myasthenia but what a,http://www.greenbridgemed.com/thankful-myasthenia-gravis-patient/,Not Spam
152,twitter.com,[GABRIELLAKAISE5] RT @ Vulgodia: Second has new sound... declaration! In a beat of the Davzera! Listerine Bath...... https://t.co/0rYUWUSzGg by Gabriellakaise5,[GABRIELLAKAISE5] RT @ Vulgodia: Second has new sound... declaration! In a beat of the Davzera! Listerine Bath...... https://t.co/0rYUWUSzGg,http://twitter.com/GabriellaKaise5/statuses/869555562543026177,Not Spam
153,facebook.com,Colostrum Thailand by user Charoen Suk," Line:: @ g.story (@ ahead?) Tel:: 089-9691065. He drew the death Brigade in. >>!!! Wai ritdot customer sends yayok, closer to review เล้ยย for anyone that has a problem stains yellow teeth. Limestone islands have bad teeth whiter 2 times!!! Do not rely on the doctor steps over white teeth, praising come garden Antoine sur offer a set of white teeth suited to who see Bamboo Mouthwash cleaners, dispersing plaque special extract, bamboo (bamboo substances. Poly phenolic Bamboo Polyphenols) is copyright to bring special production and efficiency in bringing the stains, stains, dirt and food scraps mucus comes out.",http://www.facebook.com/425566644170195/posts/1437635456296637,Spam
154,twitter.com,"[Thafinelli _] That moment Q you pass Listerine and the mouth is burning for the rest of life, help by Thafinelli _","[Thafinelli _] That moment Q you pass Listerine and the mouth burns for the rest of life, help",http://twitter.com/thafinelli_/statuses/870099797964984321,Not Spam
155,facebook.com,Listerine: 10 Incredible And Surprising Uses Every Woman Sho... by ShutUpImTalking.com,"We all know it helps with stinky breath, but did you know mouthwash can actually be used in a ton of cool ways? Definitely trying this tonight! Because I like to be prepared for any situation, my medicine cabinet is absolutely overflowing with all kinds of natural and drugstore products. And while I’ve used several of these bathroom items for surprising health and household hacks — like my ever-useful container of VapoRub — I never thought ...",http://www.facebook.com/25499962056/posts/10154648064617057,Not Spam
156,jedism.fr,Haul Beauty Promotion," Signal at 2 € 39 instead of 3 € 99. I personally use an electric toothbrush these are therefore for the baby who adores them. Mouthwash Listerine 2 € 25 instead of 3 € 75. It's a ritual I've had for several months: 2 to 3 times a week I do a mouthwash after the evening brushing. I have never tested this one, on the other hand this mark Yes. Moisturizing Milk repair Le petit Marseille 2 € 49 instead of 4 € 15. This is my favorite body moisturizer product for at least 5 years",http://www.jedism.fr/2017/05/haul-promos-beaute-leclerc.html,Not Spam
157,twitter.com,[ sweetbonks ] Tarantula Listerine is a flop and she needs to stay a flop https://t.co/TZbSvwON2d by sweetbonks,[ sweetbonks ] Tarantula Listerine is a flop and she needs to stay a flop https://t.co/TZbSvwON2d,http://twitter.com/sweetbonks/statuses/870119561701593088,Not Spam
158,twitter.com,"[ freedomwallpro1 ] Get Rid Of Bad Breath With This Easy, Homemade Mouthwash Recipe: https://t.co/umAZkEMh7a via @YouTube by freedomwallpro1","[ freedomwallpro1 ] Get Rid Of Bad Breath With This Easy, Homemade Mouthwash Recipe: https://t.co/umAZkEMh7a via @YouTube",http://twitter.com/freedomwallpro1/statuses/869526811503452161,Spam
159,facebook.com,Popular Myths about Mouthwash by Health Want Care,Popular Myths about Mouthwash http://naturalwayforhealth.com/popular-myths-about-mouthwash/ Mouthwash comes in two types: cosmetic and therapeutic. Benefits of using a mouthwash depends mainly on the type of product you use. A cosmetic mouthwash helps,http://www.facebook.com/367669130003994/posts/1154155874688645,Not Spam
160,moneysavingmom.com,"CVS: Deals for the week of May 28-June 3, 2017","Here are the best deals at CVS this week, with a big thanks to Passionate Penny Pincher for her help in compiling them: Buy 3 Scope Mouthwash (16.9 oz) at $3.39, Get $5 ECBs (Limit 2) Use 2 $0.50/1 printable or $1/1 coupon from the 5/28 P&G insert $0.72 each after coupons and ECBs Buy 3 Scott or CottonelleToilet Paper (9 Roll) or Viva Paper Towel (6 pk) at $5 , Get $5 ECBs (Limit 1) Use $0.50/1 printable, $0.75/1 printable, $1/1 printable or $0.50/1 coupon from 5/4 Smartsource insert Submit for",http://moneysavingmom.com/2017/05/cvs-deals-week-may-28-june-3-2017.html,Spam
161,twitter.com,"[ earthboy__ ] RT @RMComedy: A ""Listerine Bottle Head Dress."" Just a costume? Really. Defend that, Appropriation Prize supporters. I'll wait. #appropriati… by earthboy__","[ earthboy__ ] RT @RMComedy: A ""Listerine Bottle Head Dress."" Just a costume? Really. Defend that, Appropriation Prize supporters. I'll wait. #appropriati…",http://twitter.com/earthboy__/statuses/869536084220407808,Not Spam
162,makeupbeauty.de,Gentle Pedicure in Diabetes,"Calluses, corns or warts do not treat yourself as diabetics, but leave it to a podiatrists. By the way: with the appropriate medical indication you can have a prescription for medical foot care be issued! Also on the use of caustic tinctures or DIY mixes à la ""corneal removal with Listerine"" and co. you should refrain from diabetes – the risk of excessive skin irritation and subsequent damage is in no relation to the positive",http://www.makeupbeauty.de/pflege/fusspflege/sanfte-pedikre-bei-diabetes/,Not Spam
163,justharry44.wordpress.com,preproduction for FMP," listening. *Isaac glares at him but does not say anything. The room goes back into silence as Isaac picks up his phone again and Peter sips his beer* *then suddenly Sebastian walks into the room. Rabbling to himself and changes the channel on the TV to the news* *news intro* Good afternoon Britain welcome to the six o’clock news, first we look at someone who robbed the SafeNet bank on Exeter high street in Devon we go to Dave Mathews on the scene. Dave… *Goes to live filming outside of the bank",https://justharry44.wordpress.com/2017/05/25/preproduction-for-fmp/,Spam
164,forfreeworld.com,"Listerine Natural Care non-alcoholic, low stimulation, but skin in the mouth is peeled off","Right. And this time, the product purchased here. Medicinal even Listerine Natural care 500ml non-alcoholic type [quasi-drugs] posted with Caeleba Johnson-end Johnson 2013-09-11 Amazon Rakuten Market Yahoo Shopping product introduction is not oral liquid. Please do not drink. Do not use when the mouth is rough. It is not suitable for the use of the infant. Polyoxyethylene Pric-containing. ・ If you see any abnormalities such as hives or stifling in use, discontinue use immediately and consult with your doctor or pharmacist. Especially, people who have an allergic predisposition, or those who have experienced irritable symptoms such as rashes in medicine, should be used with care. Mouth if symptoms such as abnormalities, rashes, redness, itching, etc. appear, discontinue use, and consult a doctor, dentist or pharmacist. • Do not place for a long time in a strong light or direct sunlight. Keep it out of reach of infants. The four sterilization ingredients cause bacteria to be sterilized and prevent plaque deposition, gingivitis and bad breath. Refreshing Green tea Mintoff",http://forfreeworld.com/archives/50077425.html,Spam
165,twitter.com,[Quenguissima] who can spend 20 seconds doing rinse with Listerine with alcohol step 10 with eyes tearing by Quenguissima,[Quenguissima] who can spend 20 seconds doing rinse with Listerine with alcohol step 10 with eyes tearing,http://twitter.com/Quenguissima/statuses/869948933086248960,Not Spam
166,twitter.com,[ INDEFIINITE ] RT @aarowekpo: look like listerine bottles https://t.co/2V2T1w8sbM by INDEFIINITE,[ INDEFIINITE ] RT @aarowekpo: look like listerine bottles https://t.co/2V2T1w8sbM,http://twitter.com/INDEFIINITE/statuses/869541066466308097,Not Spam
167,twitter.com,[OhsemputCom] Spread the word to all the use of Listerine that many Don't Know Don't be surprised https://t.co/nrJA6i9Qyy by OhsemputCom,[OhsemputCom] Spread the word to all the use of Listerine that many Don't Know Don't be surprised https://t.co/nrJA6i9Qyy,http://twitter.com/OhsemputCom/statuses/869554918746705920,Spam
